,sitename,lat,long,H_in_situ,H_h_9,H_v_9,H_temp9,H_dca9,H_hv_9,I_crn_dca9,I_dca_temp9,I_hv_crn9,I_hv_dca_9,I_hv_temp_crn9,I_hv_temp_dca9,I_hvSM_given_Temp9,I_hvdca_given_Temp9,I_dca_givenhv9,U_h_9,U_v_9,S_9,R_9,Pear_R9,RMSE_9,vwc9km,H_h_36,H_v_36,H_temp36,H_dca36,H_hv_36,I_crn_dca36,I_dca_temp36,I_hv_crn36,I_hv_dca_36,I_hv_temp_crn36,I_hv_temp_dca36,I_hvSM_given_Temp36,I_hvdca_given_Temp36,I_dca_givenhv36,U_h_36,U_v_36,S_36,R_36,Pear_R36,RMSE_36,vwc36km,landcover,len
18,SD_Aberdeen_35_WNW,45.71,-99.13,0.3283337583388621,0.3758430101116972,0.37059551781909417,0.3602733067077979,0.3938062762021085,0.5556628601561877,0.05843490602209633,0.025923831506881934,0.09184246337514768,0.1337121244234022,0.1767285443688128,0.26420252179898496,0.14623530251410444,0.23827869029210302,0.13049039737558288,0.018346752066151092,0.023117421959889625,0.019464557867493917,0.07278339252986733,0.655913870490322,0.07071191617554418,1.6194481054270589,0.3745343044217153,0.37417091326672297,0.36046186616793785,0.39077127193222094,0.5554077799675574,0.05872140372150347,0.024567907001601608,0.09103004737358711,0.13689821255967471,0.17983958266066202,0.2669743281581579,0.1496516556701054,0.2424064211565562,0.1300761155984832,0.01833797029483228,0.020151773290509628,0.019597581460164465,0.07881088751416834,0.666744558532819,0.0674012976472452,1.5936520957463496,Croplands,1305
19,CO_Montrose_11_ENE,38.54,-107.69,0.34340308175846607,0.37510049896044184,0.38531481503171156,0.38211033643324144,0.38806687655422634,0.5388496014590756,0.053664589770317184,0.023270939240472077,0.0818770218174385,0.12563042413286207,0.17398632326324348,0.285391160528633,0.14250161971745445,0.2621202212881608,0.15976073639577093,0.027122700098902428,0.011935218315432025,0.017223687294785142,0.06934881842374259,0.5902960221864308,0.059112633950158325,0.9297128638442682,0.3715900884376622,0.38257430941638476,0.3818469841764412,0.3795091639057867,0.5241716925000088,0.052905505951530984,0.023799042576404084,0.08213727496180223,0.1249162732173299,0.16903228613108534,0.27526721350115335,0.13775401158064854,0.25146817092474943,0.15035094028382345,0.025511832996976513,0.012043251661072285,0.019561519926916404,0.0677996686323647,0.5709924010240698,0.06000041224824293,1.0903989873033888,Grasslands,901
20,WY_Sundance_8_NNW,44.52,-104.44,0.3712434319253978,0.3711723292374638,0.3666144425110931,0.3771342607505234,0.38436812276883126,0.517421488606464,0.07367431832894322,0.03116889157041558,0.10794114085139939,0.13068520177637044,0.1892066086803882,0.282387687757768,0.15160636581565162,0.25121879618735227,0.15170248598139768,0.014100991104089342,0.008701221482214735,0.013110825004965757,0.09477216418510039,0.7104134925257846,0.05842592575548983,4.686797032550889,0.3718181767764966,0.36766922637229776,0.37727504431658426,0.37871179507073716,0.5165161077380452,0.07795946436619583,0.029439710180146017,0.10910786839892717,0.1343204925353173,0.19699354196982866,0.27063514599786453,0.15895355384004622,0.24119543581771868,0.13631465346254723,0.01926570381727022,0.008896421918732189,0.01370888102240675,0.09244948577690804,0.726931938387952,0.05885187638742848,4.060675987473721,Grasslands,674
21,TX_Austin_33_NW,30.62,-98.08,0.35314401981252935,0.3445008254904702,0.3514186450675976,0.3609523701284195,0.35409935872477466,0.4761021418308445,0.09678498593397555,0.036611940181517366,0.10369990946938712,0.1265678765759316,0.1707843749213087,0.23187442159651128,0.12463863620912907,0.19526248141499392,0.10530654502057973,0.008154081023630466,0.006118348909138427,0.010786665022570752,0.10150878162059185,0.8427505854263362,0.11844316799751782,1.3619459300299315,0.34109326005938934,0.35554024641771315,0.36913943904520474,0.35291424999381077,0.4666206120807948,0.10054508721227673,0.03879904350913388,0.10592199966629301,0.13388498913226776,0.17536942657020027,0.23904697806631992,0.12860664852215387,0.20024793455718604,0.1051619889340521,0.006074800152797363,0.005597772553742483,0.011591246207847586,0.11062117021788022,0.8529127257477417,0.1203317793329297,1.2981503570181692,Grasslands,1117
22,AL_Gadsden_19_N,34.29,-85.96,0.36902982109247345,0.3319043405153781,0.32958394830936055,0.35339524601803546,0.3665004215628105,0.4605129274171679,0.09123704345241668,0.04829247734710895,0.08337359226512864,0.10718186057644019,0.14562012666821722,0.21498143442517081,0.10302301338982783,0.1666889570780618,0.10779957384873079,0.005316482112236023,0.006183256586334021,0.00830801379335154,0.08737410808451838,0.8583995930211535,0.10035161238065622,4.47828109365114,0.3307145621342665,0.3316988486368879,0.3545265954040905,0.36676279511796633,0.45050323698009515,0.09336336945543167,0.05478459971167504,0.08203928459923193,0.112864048035903,0.13903310993588192,0.21323958382394226,0.0954299414447487,0.15845498411226722,0.1003755357880392,0.004069952475753966,0.004366756653491663,0.007259532652673165,0.09716780625398443,0.8608452952174761,0.10028809185919633,3.89681851728396,Croplands,1556
23,GA_Newton_8_W,31.31,-84.47,0.35188694255033875,0.34482625970868436,0.3559438686403091,0.3684848251284815,0.36880434719999244,0.4903132420256405,0.06492747515555708,0.024625304803323367,0.06452770283973941,0.1007297412362742,0.15505685750408182,0.25338703097118576,0.1316564683782227,0.22876172616786244,0.15265728973491144,0.012500139524365544,0.004975219250120538,0.007792468817679837,0.07546191364410851,0.7275372588775466,0.10607256332223901,3.8375198443730674,0.3458687580695178,0.35689630014958607,0.36912818303522904,0.3682972453426624,0.481694527280729,0.06605910587345598,0.024919339192224776,0.0661489252183235,0.10443258201576744,0.15146639977987264,0.24892790684805144,0.12772765413440862,0.22400856765582638,0.14449532483228394,0.012062824188257035,0.005611410069721032,0.00994018450376373,0.07681816325402553,0.7292279945057178,0.10324372322719014,3.2432222483588045,Mixed,1635
24,MS_Holly_Springs_4_N,34.82,-89.43,0.39702816165790294,0.40636701848801077,0.40493655705828924,0.3911665296454304,0.4005591336044491,0.6508220979317801,0.04035571515406666,0.019514372950324654,0.11670519494085108,0.11100308418565052,0.2695699387139865,0.30233319272363157,0.24384124916591687,0.2828188197733068,0.19133010853798105,0.025249644329018498,0.029204698167487556,0.039972689187465604,0.01657605250167876,0.4331099761358157,0.08840540185522662,4.754811257491877,0.4149460141946085,0.40099585305938035,0.3911254875308488,0.40487269789679825,0.6474462224312781,0.041385301877618685,0.025094017773012678,0.1197773882213119,0.13080461316249314,0.26082204271692433,0.2976131310145934,0.23548827087571794,0.27251911324158057,0.16680851785210038,0.027322575719143784,0.03657967534603082,0.047101369018945544,0.01980099307837255,0.49913748582036965,0.08467107279572371,4.232060532856807,Croplands,609
25,NM_Las_Cruces_20_N,32.61,-106.74,0.35635736657908984,0.39055776522896063,0.3813667625932435,0.3640372997035489,0.4007829941746484,0.5709855062830399,0.028919008003732594,0.020063852146562366,0.07447986797949324,0.11310865115513324,0.1486046905254328,0.24609627417265034,0.12548310066488477,0.2260324220260881,0.1329876230175171,0.03240459890665056,0.019663165243244483,0.03914238535988283,0.02189850164535504,0.4110597470506355,0.026812257846625616,0.23999700404906202,0.3863983724378337,0.3803224666124352,0.36480204340234484,0.3981492859008751,0.5589720697136321,0.029799152800113138,0.01869851134316891,0.06893237071398572,0.10459907082010711,0.14398872123147333,0.24057698911367853,0.12030246079848211,0.22187847777050979,0.13597791829357142,0.027755121075567338,0.016208631892555295,0.0411229391902037,0.01951237866178089,0.43762185552234434,0.02629963681301455,0.30146217346191406,Shrublands,1121
26,MO_Joplin_24_N,37.43,-94.58,0.36503332638831826,0.3840853148177968,0.3744127958928639,0.34548756836191596,0.37972205590292946,0.5435134512693778,0.05925264104606287,0.024611432888984597,0.08931571456900755,0.11874711144321826,0.17717629598904117,0.22921912247966347,0.15162028460966925,0.20460768959067877,0.11047201103644533,0.011432814893627366,0.016587397022399544,0.015416850946559077,0.07531004858063205,0.6856214810948986,0.11360937246112691,2.1461113785354184,0.3844091116620472,0.36934707284389895,0.3450866180064325,0.3828499597308371,0.534370102798618,0.057390010535483205,0.025819164807683204,0.08594595107895087,0.12273622445554655,0.17273213927056696,0.2305339210692704,0.14713470435137266,0.20471475626158708,0.10779769661372396,0.010938309045372616,0.014122272336189443,0.016002246609471152,0.08167339646451312,0.6836354377371023,0.11304807483325811,2.056677671397374,Mixed,1524
27,SD_Buffalo_13_ESE,45.52,-103.3,0.3316509233438708,0.36154703006213174,0.3571931319736631,0.36576487109473943,0.37105410325592114,0.5178414352571713,0.07537772884819294,0.03369642040382559,0.09262802360029787,0.16314102650899143,0.16890886465416843,0.2647439490225999,0.13210765847627715,0.23104752861877442,0.10160292251360858,0.026408731429672594,0.00988801371157877,0.012709919862753938,0.1141343615049859,0.7540034878213688,0.08119009855445421,0.49874133680678584,0.36532965305332327,0.3658757055948702,0.3662343821374019,0.37221006508026794,0.526159332244297,0.07290519055264177,0.035688371127121976,0.09133310597541489,0.17493682740609706,0.16532356315197794,0.2777500948729674,0.12784986865166992,0.24206172374584556,0.10281326746687047,0.028134872498355806,0.011949375498553821,0.015286476948425748,0.11956610246076158,0.735682998385605,0.08184583745525156,0.5038662993889532,Grasslands,1275
28,NE_Harrison_20_SSE,42.42,-103.74,0.3608999500918844,0.34546528272184157,0.35787250110606617,0.3684712221182844,0.34733814009160296,0.5105198492556757,0.05954723480110724,0.026163564954367002,0.06889195474109522,0.14571318191769778,0.16433141055573186,0.2659565244000712,0.15190498736011637,0.23979295944570422,0.12024334248237345,0.028712678198449845,0.008389072247380655,0.010596735569436813,0.09801469590243046,0.715519035427348,0.043187248716347604,0.4200433384372581,0.3498034827443277,0.3581360492156764,0.37593605370253913,0.35485449481389225,0.507408565416022,0.060621434479968705,0.02672426903081726,0.0705657107236245,0.1552922640301443,0.16867425484274323,0.26844909255202687,0.15416792818965852,0.24172482352120972,0.11315682852188258,0.02813981077759395,0.010748992387270312,0.014440071673342852,0.10196338919193729,0.7185570382992135,0.04193717115735509,0.5304747249810926,Grasslands,1154
29,SD_Pierre_24_S,44.02,-100.35,0.36307635240254105,0.38593370603949023,0.3832588589903866,0.35543924673871363,0.38550479308890856,0.5761750408412528,0.059408049263219964,0.025805473122492595,0.07900594972792285,0.15941619248378947,0.18663934599946386,0.28127324072649595,0.16774488980859892,0.25546776760400347,0.12185704824270649,0.030166026858576833,0.020022886564890263,0.020315080294679322,0.08891219876564294,0.6855041615689434,0.09288558174787336,0.6954045495902649,0.37915821033769326,0.3833444615040192,0.3557190672913096,0.3894017524496165,0.5687849198575728,0.05989130221979955,0.02790736611966893,0.07671066598885934,0.15950395692336694,0.18400531734633985,0.27830541860468083,0.16420631399990432,0.25039805248501207,0.118801461681314,0.029706181783182795,0.019106348378376825,0.019959176596880124,0.0907322501649272,0.6796299558634888,0.09028784668451034,0.6878561318625469,Grasslands,1202
30,ID_Arco_17_SW,43.46,-113.56,0.2623612147163738,0.3590628283749705,0.36245864878083367,0.3866633898284623,0.3784348276352612,0.4897475859869119,0.05597721098215502,0.04845400056598714,0.07591213296789101,0.13198771463666148,0.130467991884736,0.25906758220299986,0.08042286973481311,0.21061358163701288,0.1270798675663385,0.018230018340583062,0.0064870205139208464,0.011811882631792961,0.09545879315036472,0.6359187983216128,0.06917947300096178,0.3705642613237851,0.3695649907183171,0.3690542088793233,0.37760090171232014,0.375897025280764,0.5005579963482788,0.05886858271856976,0.05479053576935289,0.07510054517251608,0.15259000168858317,0.12549682559507513,0.26281680457750933,0.07637484092301589,0.2080262688081565,0.11022680288892617,0.023965935890607942,0.007387810180420368,0.013426296865780757,0.1078099587517741,0.6536660971732685,0.06377860962887381,0.38309770272525084,Grasslands,874
31,AZ_Williams_35_NNW,35.76,-112.34,0.39268424852099415,0.39004029509316035,0.38810907069039674,0.3857505112119476,0.3798546005913903,0.5830692793992597,0.04103322518967567,0.02312094791863173,0.09451350848952522,0.13873116107071026,0.20160541654577324,0.28116663576967804,0.17479823711599052,0.2580456878510461,0.14243547469896767,0.051934055407845015,0.027726976276343903,0.031048529694595376,0.02802159969192575,0.39775496926961884,0.04949133147773726,0.1716609571552919,0.38861323452913843,0.3872775121560618,0.3780877390156524,0.3766926649506927,0.573629929566517,0.04203651777866624,0.01617376413495919,0.09073173620468611,0.1371299374397501,0.1993622009940743,0.27996087609701903,0.17365843118141056,0.2637871119620596,0.14283093865726892,0.05031834845241531,0.02665798568625818,0.029142591518843384,0.03101101178223323,0.45406445079036634,0.04554512584544156,0.2155816406976058,Grasslands,852
32,ND_Northgate_5_ESE,48.97,-102.17,0.36614833312936573,0.3828243443771882,0.36966960586998204,0.36835308678870426,0.3991689412401614,0.5389477041801994,0.08856845081934961,0.027350613555108483,0.1143367643807981,0.13493350530226866,0.2048896164288314,0.2536623356149974,0.16820196926696973,0.22631172205988903,0.11872883031272885,0.01681889554174988,0.008270416195694588,0.011312313123612347,0.09853188044121163,0.7750623056093109,0.04683601897267732,1.373909221731732,0.38159042437207014,0.3691339946096688,0.36855749685523453,0.39444993595524086,0.5353385311657083,0.09011595787662652,0.02744260745827931,0.11548288949214136,0.13853601373459468,0.20096185864819827,0.2500399741783811,0.16421339881357944,0.22259736672010189,0.11150396044378641,0.018473608036611022,0.008355513723431574,0.011705248142637958,0.10000164383191423,0.7834902845333847,0.046176981307648426,1.4093603481326187,Croplands,1193
33,SD_Sioux_Falls_14_NNE,43.73,-96.62,0.3881891363156027,0.3743443374230446,0.3702914023542411,0.38076122991856165,0.40013011501326806,0.5374558741994466,0.04479923924531737,0.030223170680702904,0.09358425383568769,0.13409819258638545,0.1938548141524462,0.24064376730761716,0.16144914677338706,0.21042059662691437,0.10654557472123183,0.029953340978764703,0.014243427682714166,0.018091616883713385,0.07180980704119319,0.5012279243844375,0.1373131246495988,1.8596207310146373,0.37260525421336244,0.38162575134915333,0.38080507681819026,0.40614208125549855,0.5401560167372524,0.05073868765661871,0.03095949643032425,0.09185277858565544,0.137486377180432,0.20116334143568926,0.24963276788086308,0.16810339528274315,0.21867327145053878,0.11214639070043098,0.025089814437688512,0.013584061658932084,0.018343549988505098,0.08046895109530608,0.5101195849041531,0.13722966762015157,1.9007775820078063,Croplands,589
34,NV_Mercury_3_SSW,36.62,-116.02,0.33833527846897965,0.3790128679842261,0.3594555718656415,0.36289945901645265,0.41631606335319454,0.5176321648358788,0.0318867850984107,0.027449619681028548,0.06495454109709264,0.08226715307281818,0.11832423145584059,0.19792075589408487,0.08309861218204567,0.17047113621305637,0.1156536028212668,0.021998915329425953,0.013650583091169025,0.02174692838652041,0.02487072626570279,0.3398012409231288,0.0458010324203941,0.18308314802695294,0.3769726084331646,0.3638779383054836,0.36262327318686943,0.422662466568334,0.5119686637692126,0.03631459354423727,0.0308425542316052,0.07300827934989795,0.09335492238170218,0.1157876285570536,0.20434479697377717,0.08109793659947467,0.1735022427421719,0.11098987459207499,0.025150093978225735,0.013703998211830076,0.02323473013433955,0.03126610005730693,0.3630535275790542,0.04376535199185081,0.11401704577204026,Shrublands,1036
35,CO_Nunn_7_NNE,40.81,-104.76,0.2908138692069684,0.35620909400695283,0.35569239864537994,0.37727801395380406,0.3538518883005862,0.4976435091317768,0.05098780212934784,0.030264377199510806,0.07216662276967567,0.15626055208082723,0.14014572381261226,0.2697800442988837,0.11420391394860957,0.23951566709937294,0.11351949221805635,0.03320054757737448,0.006877971226406127,0.010419389399543205,0.10576264387750342,0.6833789500109707,0.07476600186549329,0.3309863013736272,0.3532876979981561,0.3634241709225812,0.3755816932830237,0.35801154722956485,0.5018233407360347,0.04468726278087687,0.02578454909047101,0.0681435610393778,0.1439339818523253,0.13545930133002515,0.2655474267494966,0.10937527467218977,0.2397628776590256,0.12161344489717119,0.029530575628069336,0.009645797905555156,0.014976761189288187,0.0897808471294123,0.6284183875692879,0.08012850079942323,0.5437949202304718,Grasslands,1021
36,MT_Wolf_Point_29_ENE,48.31,-105.1,0.3605533564326326,0.3526309876312103,0.36652015362209645,0.3744130758214825,0.3598685326468651,0.5118172847538209,0.07018235813446183,0.027889464904989114,0.09325007650765371,0.16102661476443203,0.18062733902634154,0.2685209036345718,0.14425087579030033,0.24063143872958265,0.1074942888701399,0.0352977475888228,0.008828332663293123,0.012597717816475743,0.10430281669584025,0.7156400779751733,0.07736577376524886,0.4873033449000355,0.3537913265495713,0.35926733273312184,0.3658665000486358,0.3606265021630385,0.500598302044678,0.06638988614846453,0.02536670301923971,0.08743422133603385,0.15877711192953647,0.16548500094653884,0.2655824515844193,0.12905800164913867,0.24021574856517963,0.10680533965488304,0.035513954189556315,0.007930983834197144,0.011922508328290851,0.10340966557749205,0.6992756668118704,0.07432703502292495,0.48512590957218654,Grasslands,1058
37,OK_Goodwell_2_SE,36.57,-101.61,0.35645046553680043,0.3832001893893955,0.3867975086693596,0.3509241807483886,0.38141015817092594,0.569517822428778,0.04623035595246294,0.019893211980386627,0.08677712065916399,0.13954769446224435,0.17594286456110475,0.27414145785278,0.1507991650114776,0.25424824587239336,0.13459376339053575,0.04027403248122961,0.024126387624638798,0.026471359920915663,0.04867591443546039,0.5382931757831222,0.1287777325627323,0.5232418959965803,0.38732668001875414,0.38137608749708446,0.3500692013348413,0.37711198129709456,0.5707091814027875,0.050463483486692606,0.016749026237614872,0.08816578741333503,0.14078688613995805,0.17202688961505952,0.26896259388463317,0.14677205386840675,0.2522135676470184,0.12817570774467535,0.045733478235306074,0.027459610714614807,0.02964746776612745,0.037946329423909714,0.5017493846427468,0.13346961292335677,0.45507133991669063,Grasslands,1124
38,AZ_Yuma_27_ENE,32.84,-114.19,0.3958328866611385,0.3915752655005329,0.3766660331088031,0.3633260819269328,0.4291672281969401,0.5241201014826522,0.05454019341257421,0.031414566955003886,0.08463217361899367,0.10574882697848575,0.14927165253119157,0.19914465433948847,0.10635718796367216,0.16773008738448464,0.09339582736100283,0.020996200281765354,0.01416083186158218,0.026081432752502576,0.044510362082635424,0.3935292368527797,0.03874816796077457,0.24747437663203062,0.38942523210448454,0.38474469498773983,0.3641890147539413,0.4249000094182937,0.5274231546876396,0.05497942457667937,0.04103620975831812,0.08900985050520915,0.1207603181123692,0.14572469441541624,0.21527939591040834,0.10491665012505313,0.17424318615209045,0.09451907779803925,0.02307780667514519,0.01398944527543771,0.025013785750034052,0.05867928041175203,0.43486541353884123,0.03653696390059647,0.14847894610682327,Shrublands,737
